    alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  32.700   6.7911   0.00000   0.00000  -1.4287   0.0000   0.0000
  32.800   6.8095   0.00000   0.00000  -1.4310   0.0000   0.0000
  32.900   6.8280   0.00000   0.00000  -1.4332   0.0000   0.0000
  33.000   6.8464   0.00000   0.00000  -1.4355   0.0000   0.0000
  33.100   6.8648   0.00000   0.00000  -1.4377   0.0000   0.0000
  33.200   6.8831   0.00000   0.00000  -1.4399   0.0000   0.0000
  33.300   6.9015   0.00000   0.00000  -1.4421   0.0000   0.0000
  33.400   6.9198   0.00000   0.00000  -1.4443   0.0000   0.0000
  33.500   6.9381   0.00000   0.00000  -1.4464   0.0000   0.0000
  33.600   6.9564   0.00000   0.00000  -1.4485   0.0000   0.0000
  33.700   6.9747   0.00000   0.00000  -1.4507   0.0000   0.0000
  33.800   6.9929   0.00000   0.00000  -1.4528   0.0000   0.0000
  33.900   7.0111   0.00000   0.00000  -1.4548   0.0000   0.0000
  34.000   7.0293   0.00000   0.00000  -1.4569   0.0000   0.0000
  34.100   7.0475   0.00000   0.00000  -1.4589   0.0000   0.0000
  34.200   7.0657   0.00000   0.00000  -1.4610   0.0000   0.0000
  34.300   7.0838   0.00000   0.00000  -1.4630   0.0000   0.0000
  34.400   7.1019   0.00000   0.00000  -1.4650   0.0000   0.0000
  34.500   7.1200   0.00000   0.00000  -1.4669   0.0000   0.0000
  34.600   7.1381   0.00000   0.00000  -1.4689   0.0000   0.0000
  34.700   7.1561   0.00000   0.00000  -1.4708   0.0000   0.0000
  34.800   7.1742   0.00000   0.00000  -1.4728   0.0000   0.0000
  34.900   7.1922   0.00000   0.00000  -1.4747   0.0000   0.0000
  35.000   7.2101   0.00000   0.00000  -1.4766   0.0000   0.0000
  35.100   7.2281   0.00000   0.00000  -1.4784   0.0000   0.0000
  35.200   7.2460   0.00000   0.00000  -1.4803   0.0000   0.0000
  35.300   7.2640   0.00000   0.00000  -1.4821   0.0000   0.0000
  35.400   7.2819   0.00000   0.00000  -1.4839   0.0000   0.0000
  35.500   7.2997   0.00000   0.00000  -1.4857   0.0000   0.0000
  35.600   7.3176   0.00000   0.00000  -1.4875   0.0000   0.0000
  35.700   7.3354   0.00000   0.00000  -1.4892   0.0000   0.0000
  35.800   7.3532   0.00000   0.00000  -1.4910   0.0000   0.0000
  35.900   7.3710   0.00000   0.00000  -1.4927   0.0000   0.0000
  36.000   7.3888   0.00000   0.00000  -1.4944   0.0000   0.0000
  36.100   7.4065   0.00000   0.00000  -1.4961   0.0000   0.0000
  36.200   7.4242   0.00000   0.00000  -1.4978   0.0000   0.0000
  36.300   7.4419   0.00000   0.00000  -1.4994   0.0000   0.0000
  36.400   7.4596   0.00000   0.00000  -1.5010   0.0000   0.0000
  36.500   7.4772   0.00000   0.00000  -1.5027   0.0000   0.0000
  36.600   7.4949   0.00000   0.00000  -1.5042   0.0000   0.0000
  36.700   7.5125   0.00000   0.00000  -1.5058   0.0000   0.0000
  36.800   7.5300   0.00000   0.00000  -1.5074   0.0000   0.0000
  36.900   7.5476   0.00000   0.00000  -1.5089   0.0000   0.0000
  37.000   7.5651   0.00000   0.00000  -1.5104   0.0000   0.0000
  37.100   7.5826   0.00000   0.00000  -1.5119   0.0000   0.0000
  37.200   7.6001   0.00000   0.00000  -1.5134   0.0000   0.0000
  37.300   7.6176   0.00000   0.00000  -1.5149   0.0000   0.0000
  37.400   7.6350   0.00000   0.00000  -1.5163   0.0000   0.0000
  37.500   7.6524   0.00000   0.00000  -1.5178   0.0000   0.0000
  37.600   7.6698   0.00000   0.00000  -1.5192   0.0000   0.0000
  37.700   7.6872   0.00000   0.00000  -1.5206   0.0000   0.0000
  37.800   7.7046   0.00000   0.00000  -1.5219   0.0000   0.0000
  37.900   7.7219   0.00000   0.00000  -1.5233   0.0000   0.0000
  38.000   7.7392   0.00000   0.00000  -1.5246   0.0000   0.0000
  38.100   7.7565   0.00000   0.00000  -1.5260   0.0000   0.0000
  38.200   7.7737   0.00000   0.00000  -1.5273   0.0000   0.0000
  38.300   7.7909   0.00000   0.00000  -1.5285   0.0000   0.0000
