Iteration,residual,force
     498,  0.1713020E-02,  0.1357218E+01
     499,  0.1693440E-02,  0.1357284E+01
     500,  0.1674082E-02,  0.1357349E+01
     501,  0.1654945E-02,  0.1357413E+01
     502,  0.1636027E-02,  0.1357476E+01
     503,  0.1617324E-02,  0.1357539E+01
     504,  0.1598834E-02,  0.1357601E+01
     505,  0.1580555E-02,  0.1357662E+01
     506,  0.1562485E-02,  0.1357723E+01
     507,  0.1544620E-02,  0.1357783E+01
     508,  0.1526960E-02,  0.1357842E+01
     509,  0.1509500E-02,  0.1357900E+01
     510,  0.1492240E-02,  0.1357958E+01
     511,  0.1475177E-02,  0.1358015E+01
     512,  0.1458308E-02,  0.1358072E+01
     513,  0.1441632E-02,  0.1358128E+01
     514,  0.1425146E-02,  0.1358183E+01
     515,  0.1408848E-02,  0.1358237E+01
     516,  0.1392736E-02,  0.1358291E+01
     517,  0.1376808E-02,  0.1358345E+01
     518,  0.1361062E-02,  0.1358398E+01
     519,  0.1345495E-02,  0.1358450E+01
     520,  0.1330106E-02,  0.1358501E+01
     521,  0.1314892E-02,  0.1358552E+01
     522,  0.1299853E-02,  0.1358603E+01
     523,  0.1284984E-02,  0.1358652E+01
     524,  0.1270286E-02,  0.1358702E+01
     525,  0.1255755E-02,  0.1358750E+01
     526,  0.1241390E-02,  0.1358798E+01
     527,  0.1227190E-02,  0.1358846E+01
     528,  0.1213151E-02,  0.1358893E+01
     529,  0.1199272E-02,  0.1358939E+01
     530,  0.1185552E-02,  0.1358985E+01
     531,  0.1171989E-02,  0.1359031E+01
     532,  0.1158581E-02,  0.1359076E+01
     533,  0.1145325E-02,  0.1359120E+01
     534,  0.1132221E-02,  0.1359164E+01
     535,  0.1119267E-02,  0.1359207E+01
     536,  0.1106461E-02,  0.1359250E+01
     537,  0.1093800E-02,  0.1359292E+01
     538,  0.1081285E-02,  0.1359334E+01
     539,  0.1068912E-02,  0.1359376E+01
     540,  0.1056681E-02,  0.1359417E+01
     541,  0.1044589E-02,  0.1359457E+01
     542,  0.1032636E-02,  0.1359497E+01
     543,  0.1020819E-02,  0.1359537E+01
     544,  0.1009137E-02,  0.1359576E+01
     545,  0.9975886E-03,  0.1359614E+01
     546,  0.9861721E-03,  0.1359653E+01
     547,  0.9748860E-03,  0.1359690E+01
     548,  0.9637289E-03,  0.1359728E+01
     549,  0.9526992E-03,  0.1359765E+01
     550,  0.9417956E-03,  0.1359801E+01
     551,  0.9310166E-03,  0.1359837E+01
     552,  0.9203608E-03,  0.1359873E+01
     553,  0.9098267E-03,  0.1359908E+01
     554,  0.8994130E-03,  0.1359943E+01
     555,  0.8891184E-03,  0.1359978E+01
     556,  0.8789413E-03,  0.1360012E+01
     557,  0.8688807E-03,  0.1360045E+01
     558,  0.8589350E-03,  0.1360079E+01
     559,  0.8491029E-03,  0.1360111E+01
     560,  0.8393833E-03,  0.1360144E+01
     561,  0.8297748E-03,  0.1360176E+01
     562,  0.8202761E-03,  0.1360208E+01
     563,  0.8108860E-03,  0.1360239E+01
     564,  0.8016032E-03,  0.1360270E+01
     565,  0.7924266E-03,  0.1360301E+01
     566,  0.7833548E-03,  0.1360331E+01
     567,  0.7743868E-03,  0.1360361E+01
     568,  0.7655214E-03,  0.1360391E+01
     569,  0.7567573E-03,  0.1360420E+01
     570,  0.7480934E-03,  0.1360449E+01
     571,  0.7395285E-03,  0.1360478E+01
     572,  0.7310616E-03,  0.1360506E+01
     573,  0.7226916E-03,  0.1360534E+01
     574,  0.7144172E-03,  0.1360562E+01
     575,  0.7062375E-03,  0.1360589E+01
     576,  0.6981513E-03,  0.1360616E+01
     577,  0.6901576E-03,  0.1360643E+01
     578,  0.6822553E-03,  0.1360670E+01
     579,  0.6744433E-03,  0.1360696E+01
     580,  0.6667208E-03,  0.1360722E+01
     581,  0.6590865E-03,  0.1360747E+01
     582,  0.6515396E-03,  0.1360772E+01
     583,  0.6440790E-03,  0.1360797E+01
     584,  0.6367037E-03,  0.1360822E+01
     585,  0.6294128E-03,  0.1360846E+01
     586,  0.6222053E-03,  0.1360871E+01
     587,  0.6150803E-03,  0.1360894E+01
     588,  0.6080367E-03,  0.1360918E+01
     589,  0.6010738E-03,  0.1360941E+01
     590,  0.5941905E-03,  0.1360964E+01
     591,  0.5873859E-03,  0.1360987E+01
     592,  0.5806592E-03,  0.1361010E+01
     593,  0.5740094E-03,  0.1361032E+01
     594,  0.5674358E-03,  0.1361054E+01
     595,  0.5609373E-03,  0.1361076E+01
     596,  0.5545132E-03,  0.1361097E+01
     597,  0.5481626E-03,  0.1361118E+01
     598,  0.5418846E-03,  0.1361139E+01
     599,  0.5356785E-03,  0.1361160E+01
     600,  0.5295434E-03,  0.1361181E+01
     601,  0.5234785E-03,  0.1361201E+01
     602,  0.5174830E-03,  0.1361221E+01
     603,  0.5115561E-03,  0.1361241E+01
     604,  0.5056971E-03,  0.1361260E+01
     605,  0.4999051E-03,  0.1361280E+01
